Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100019,2023-07-21,2023-07-28,C-292,Customer 292,Consumer,India,Hyderabad,Telangana,North,Furniture,Furnishings,Furnishings Model 14,3452.39,1,0.0,338.51
ORD-100020,2023-04-05,2023-04-06,C-026,Customer 026,Home Office,India,Bangalore,Delhi,East,Technology,Copiers,Copiers Model 13,34116.63,4,0.1,5864.41
ORD-100021,2024-03-05,2024-03-11,C-199,Customer 199,Home Office,India,Delhi,Karnataka,North,Furniture,Furnishings,Furnishings Model 24,13241.68,4,0.0,1372.1
ORD-100022,2024-07-19,2024-07-20,C-055,Customer 055,Corporate,India,Delhi,Maharashtra,South,Technology,Copiers,Copiers Model 9,19256.62,6,0.3,-407.58
ORD-100023,2023-03-27,2023-03-29,C-160,Customer 160,Corporate,India,Delhi,Delhi,South,Technology,Copiers,Copiers Model 6,15804.7,3,0.15,271.7
ORD-100024,2023-02-17,2023-02-22,C-030,Customer 030,Home Office,India,Chennai,Karnataka,North,Technology,Machines,Machines Model 22,13800.5,4,0.3,490.27
ORD-100025,2024-01-25,2024-01-29,C-028,Customer 028,Consumer,India,Delhi,Delhi,North,Furniture,Bookcases,Bookcases Model 17,1430.04,1,0.0,111.24
ORD-100026,2024-09-04,2024-09-05,C-249,Customer 249,Home Office,India,Hyderabad,Delhi,West,Office Supplies,Paper,Paper Model 23,2060.65,4,0.05,445.57
ORD-100027,2023-03-09,2023-03-15,C-013,Customer 013,Corporate,India,Chennai,Tamil Nadu,North,Office Supplies,Art,Art Model 22,2383.71,6,0.4,-309.37
ORD-100028,2024-07-14,2024-07-15,C-097,Customer 097,Corporate,India,Chennai,Delhi,East,Technology,Copiers,Copiers Model 19,35906.65,6,0.1,8756.18
ORD-100029,2023-04-29,2023-05-05,C-116,Customer 116,Consumer,India,Mumbai,Delhi,South,Furniture,Chairs,Chairs Model 10,6017.56,3,0.1,57.49
ORD-100030,2023-12-13,2023-12-16,C-071,Customer 071,Home Office,India,Mumbai,Tamil Nadu,West,Technology,Accessories,Accessories Model 14,35881.96,6,0.3,3321.22
ORD-100031,2024-03-06,2024-03-11,C-160,Customer 160,Home Office,India,Bangalore,Telangana,North,Furniture,Chairs,Chairs Model 18,20236.68,5,0.0,2971.75
ORD-100032,2024-07-30,2024-08-04,C-016,Customer 016,Consumer,India,,Maharashtra,West,Furniture,Furnishings,Furnishings Model 18,11380.59,3,0.2,-575.27
ORD-100033,2023-01-06,2023-01-13,C-018,Customer 018,Consumer,India,Hyderabad,Delhi,East,Office Supplies,Binders,Binders Model 12,3870.23,5,0.1,417.53
ORD-100034,2023-03-05,2023-03-10,C-042,Customer 042,Home Office,India,Hyderabad,Maharashtra,North,Furniture,Furnishings,Furnishings Model 18,10441.91,4,0.2,235.47
ORD-100035,2023-08-14,2023-08-20,C-270,Customer 270,Corporate,India,Mumbai,Karnataka,South,Furniture,Furnishings,Furnishings Model 18,3460.59,2,0.4,-804.04
ORD-100036,2023-09-28,2023-10-05,C-285,Customer 285,Consumer,India,Mumbai,Tamil Nadu,South,Technology,Copiers,Copiers Model 22,35827.21,5,0.4,-997.26
ORD-100037,2023-03-10,2023-03-13,C-020,Customer 020,Home Office,India,Delhi,Karnataka,North,Office Supplies,Binders,Binders Model 8,4404.45,4,0.05,301.48
ORD-100038,2024-09-25,2024-09-27,C-222,Customer 222,Consumer,India,Hyderabad,Karnataka,West,Furniture,Furnishings,Furnishings Model 17,19849.57,5,0.0,2094.72
ORD-100039,2024-08-05,2024-08-07,C-027,Customer 027,Consumer,India,Bangalore,Tamil Nadu,East,Furniture,Tables,Tables Model 15,8419.15,2,0.25,-1870.75
ORD-100040,2024-07-30,2024-08-06,C-289,Customer 289,Home Office,India,Delhi,Karnataka,North,Technology,Phones,Phones Model 11,52630.93,7,0.2,9637.12
ORD-100041,2023-03-03,2023-03-04,C-007,Customer 007,Home Office,India,Mumbai,Karnataka,East,Office Supplies,Storage,Storage Model 18,2947.46,6,0.2,42.66
ORD-100042,2023-01-31,2023-02-07,C-225,Customer 225,Consumer,India,Hyderabad,Karnataka,East,Furniture,Bookcases,Bookcases Model 10,7112.26,2,0.0,539.11
ORD-100043,2023-11-18,2023-11-22,C-295,Customer 295,Corporate,India,Hyderabad,Maharashtra,East,Technology,Accessories,Accessories Model 16,17298.32,2,0.05,2654.01
ORD-100044,2023-12-08,2023-12-09,C-048,Customer 048,Home Office,India,Hyderabad,Delhi,South,Office Supplies,Binders,Binders Model 19,472.03,1,0.05,49.82
ORD-100045,2024-11-14,2024-11-18,C-184,Customer 184,Corporate,India,Delhi,Karnataka,North,Office Supplies,Binders,Binders Model 6,3192.54,5,0.0,473.36
ORD-100046,2024-04-14,2024-04-17,C-106,Customer 106,Corporate,India,Delhi,Telangana,East,Technology,Machines,Machines Model 13,38091.55,5,0.15,4259.49
ORD-100047,2024-09-04,2024-09-08,C-109,Customer 109,Home Office,India,Chennai,Maharashtra,West,Technology,Machines,Machines Model 12,23527.15,4,0.2,3463.48
ORD-100048,2023-07-22,2023-07-25,C-002,Customer 002,Consumer,India,Chennai,Karnataka,North,Technology,Phones,Phones Model 11,14497.86,4,0.05,2018.74
ORD-100049,2024-04-26,2024-04-30,C-249,Customer 249,Consumer,India,Hyderabad,Delhi,East,Office Supplies,Storage,Storage Model 8,682.08,1,0.4,25.11
ORD-100050,2023-01-08,2023-01-10,C-044,Customer 044,Corporate,India,Delhi,Tamil Nadu,East,Office Supplies,Storage,Storage Model 23,4139.15,5,0.0,548.29
ORD-100051,2023-12-29,2023-12-30,C-297,Customer 297,Home Office,India,Delhi,Delhi,North,Technology,Copiers,Copiers Model 12,20206.89,4,0.0,4955.93
ORD-100052,2023-06-17,2023-06-20,C-010,Customer 010,Corporate,India,Bangalore,Karnataka,North,Technology,Phones,Phones Model 7,11372.57,2,0.15,702.02
ORD-100053,2024-07-25,2024-08-01,C-074,Customer 074,Corporate,India,Mumbai,Tamil Nadu,East,Office Supplies,Storage,Storage Model 21,2417.27,6,0.1,322.16
ORD-100054,2024-10-16,2024-10-21,C-160,Customer 160,Corporate,India,Bangalore,Maharashtra,South,Technology,Copiers,Copiers Model 24,24080.35,3,0.05,2575.35
ORD-100055,2023-07-06,2023-07-07,C-276,Customer 276,Corporate,India,Delhi,Delhi,North,Furniture,Chairs,Chairs Model 1,4264.25,1,0.1,223.95
ORD-100056,2024-03-22,2024-03-26,C-006,Customer 006,Home Office,India,Mumbai,Tamil Nadu,West,Office Supplies,Storage,Storage Model 15,7300.33,7,0.4,-1141.75
ORD-100057,2024-04-12,2024-04-14,C-235,Customer 235,Home Office,India,Mumbai,Tamil Nadu,South,Furniture,Bookcases,Bookcases Model 18,13503.33,4,0.5,-3968.56
ORD-100058,2024-07-13,2024-07-17,C-192,Customer 192,Corporate,India,Bangalore,Telangana,North,Furniture,Tables,Tables Model 16,31171.04,7,0.5,-10423.08
ORD-100059,2023-06-21,2023-06-28,C-026,Customer 026,Home Office,India,Hyderabad,Telangana,West,Technology,Accessories,Accessories Model 18,4922.57,1,0.0,977.76
ORD-100060,2023-02-05,2023-02-07,C-003,Customer 003,Corporate,India,Chennai,Delhi,West,Technology,Copiers,Copiers Model 7,45796.35,7,0.3,3493.54
ORD-100061,2023-07-03,2023-07-10,C-021,Customer 021,Home Office,India,Mumbai,Telangana,East,Office Supplies,Storage,Storage Model 15,2252.06,2,0.05,528.05
ORD-100062,2023-03-03,2023-03-06,C-035,Customer 035,Home Office,India,Hyderabad,Maharashtra,North,Technology,Accessories,Accessories Model 19,35823.27,5,0.3,5628.1
ORD-100063,2024-06-12,2024-06-15,C-013,Customer 013,Home Office,India,Bangalore,Karnataka,East,Office Supplies,Binders,Binders Model 9,3535.28,5,0.4,49.19
ORD-100064,2024-04-01,2024-04-04,C-011,Customer 011,Home Office,India,Delhi,Delhi,South,Furniture,Chairs,Chairs Model 24,18313.69,7,0.4,-3492.47
ORD-100065,2023-08-09,2023-08-10,C-086,Customer 086,Consumer,India,Mumbai,Tamil Nadu,West,Furniture,Bookcases,Bookcases Model 6,14650.13,4,0.15,415.99
ORD-100066,2024-02-09,2024-02-15,C-006,Customer 006,Consumer,India,Chennai,Tamil Nadu,South,Technology,Phones,Phones Model 15,15189.71,2,0.1,2126.61
ORD-100067,2023-05-04,2023-05-10,C-203,Customer 203,Home Office,India,Delhi,Tamil Nadu,North,Technology,Accessories,Accessories Model 11,12649.25,4,0.15,1777.33
ORD-100068,2023-06-27,2023-06-28,C-029,Customer 029,Consumer,India,Bangalore,Karnataka,North,Furniture,Furnishings,Furnishings Model 21,13645.66,5,0.1,1221.54
ORD-100069,2024-12-04,2024-12-07,C-034,Customer 034,Home Office,India,Bangalore,Delhi,North,Furniture,Furnishings,Furnishings Model 21,7592.73,3,0.1,337.53
ORD-100070,2023-11-07,2023-11-13,C-004,Customer 004,Corporate,India,Delhi,Maharashtra,South,Office Supplies,Storage,Storage Model 22,4461.98,4,0.05,480.2
ORD-100071,2023-12-14,2023-12-19,C-144,Customer 144,Consumer,India,Bangalore,Maharashtra,West,Furniture,Bookcases,Bookcases Model 4,2747.5,1,0.2,-21.07
ORD-100072,2023-03-21,2023-03-26,C-027,Customer 027,Consumer,India,Hyderabad,Tamil Nadu,North,Furniture,Chairs,Chairs Model 12,10176.63,5,0.15,-237.37
ORD-100073,2024-12-17,2024-12-24,C-002,Customer 002,Consumer,India,Hyderabad,Tamil Nadu,East,Office Supplies,Paper,Paper Model 24,3488.28,6,0.4,-350.93
ORD-100074,2024-03-08,2024-03-10,C-221,Customer 221,Consumer,India,Chennai,Karnataka,West,Furniture,Furnishings,Furnishings Model 18,7786.75,3,0.05,762.92
ORD-100075,2023-08-06,2023-08-08,C-011,Customer 011,Home Office,India,Bangalore,Telangana,East,Furniture,Bookcases,Bookcases Model 4,13684.49,6,0.3,-150.19
ORD-100076,2023-01-03,2023-01-04,C-019,Customer 019,Consumer,India,Delhi,Tamil Nadu,West,Office Supplies,Binders,Binders Model 3,8775.95,7,0.15,684.15
ORD-100077,2023-11-18,2023-11-20,C-265,Customer 265,Consumer,India,Bangalore,Karnataka,North,Office Supplies,Binders,Binders Model 15,3091.14,5,0.15,18.64
ORD-100078,2024-02-03,2024-02-06,C-026,Customer 026,Consumer,India,Mumbai,Telangana,East,Furniture,Furnishings,Furnishings Model 18,13809.07,4,0.2,469.5
ORD-100079,2023-09-16,2023-09-21,C-296,Customer 296,Consumer,India,Mumbai,Karnataka,West,Office Supplies,Art,Art Model 17,2884.98,4,0.0,497.54
ORD-100080,2024-09-10,2024-09-17,C-011,,Home Office,India,Hyderabad,Tamil Nadu,North,Furniture,Furnishings,Furnishings Model 16,13576.35,7,0.1,-400.15
ORD-100081,2024-11-14,2024-11-21,C-114,Customer 114,Home Office,India,Hyderabad,Delhi,West,Technology,Machines,Machines Model 3,12719.99,4,0.4,-128.67
ORD-100082,2023-09-29,2023-10-05,C-013,Customer 013,Home Office,India,Mumbai,Telangana,West,Furniture,Bookcases,Bookcases Model 14,24807.64,6,0.1,1479.01
ORD-100083,2023-02-18,2023-02-21,C-175,Customer 175,Home Office,India,Bangalore,Maharashtra,South,Office Supplies,Storage,Storage Model 17,1386.51,2,0.1,49.3
ORD-100084,2024-06-26,2024-07-03,C-001,Customer 001,Corporate,India,Delhi,Delhi,North,Furniture,Furnishings,Furnishings Model 2,10769.34,5,0.05,202.6
ORD-100085,2023-06-26,2023-06-27,C-015,Customer 015,Corporate,India,Mumbai,Maharashtra,West,Furniture,Chairs,Chairs Model 19,14301.98,5,0.0,1423.15
ORD-100086,2024-11-17,2024-11-18,C-232,Customer 232,Corporate,India,Delhi,Karnataka,West,Technology,Copiers,Copiers Model 20,16978.29,5,0.05,3314.95
ORD-100087,2023-11-24,2023-11-30,C-254,Customer 254,Consumer,India,Mumbai,Tamil Nadu,South,Office Supplies,Storage,Storage Model 9,2250.52,2,0.15,-60.75
ORD-100088,2024-11-08,2024-11-09,C-034,Customer 034,Corporate,India,Bangalore,Tamil Nadu,North,Technology,Copiers,Copiers Model 15,24974.38,3,0.0,6063.7
ORD-100089,2023-04-07,2023-04-13,C-054,Customer 054,Consumer,India,Mumbai,Maharashtra,East,Office Supplies,Binders,Binders Model 6,6875.18,6,0.05,1056.55
ORD-100090,2024-01-08,2024-01-12,C-002,Customer 002,Consumer,India,Mumbai,Karnataka,East,Technology,Copiers,Copiers Model 9,11886.69,2,0.15,1761.72
ORD-100091,2023-09-26,2023-09-29,C-038,Customer 038,Home Office,India,Bangalore,Karnataka,North,Office Supplies,Art,Art Model 23,2156.09,4,0.05,366.78
ORD-100092,2024-01-18,2024-01-20,C-028,Customer 028,Corporate,India,Mumbai,Delhi,South,Office Supplies,Storage,Storage Model 21,6248.15,5,0.3,-1380.44
ORD-100093,2023-02-11,2023-02-17,C-046,Customer 046,Consumer,India,Mumbai,Maharashtra,South,Office Supplies,Storage,Storage Model 23,5499.99,6,0.2,-20.23
ORD-100094,2023-07-22,2023-07-23,C-087,Customer 087,Consumer,India,Hyderabad,Telangana,West,Furniture,Bookcases,Bookcases Model 12,19175.46,7,0.0,1700.64
ORD-100095,2023-08-07,2023-08-11,C-118,Customer 118,Home Office,India,Bangalore,Karnataka,South,Furniture,Tables,Tables Model 17,15995.05,5,0.5,-7777.25
ORD-100096,2024-06-23,2024-06-30,C-176,Customer 176,Home Office,India,Mumbai,Tamil Nadu,West,Office Supplies,Binders,Binders Model 18,1667.17,2,0.15,187.26
ORD-100097,2024-02-29,2024-03-03,C-110,Customer 110,Corporate,India,Mumbai,Telangana,East,Office Supplies,Art,Art Model 10,4701.79,4,0.1,482.54
ORD-100098,2024-04-16,2024-04-21,C-078,Customer 078,Consumer,India,Bangalore,Telangana,East,Furniture,Chairs,Chairs Model 23,7885.45,6,0.05,1026.62
ORD-100099,2024-07-05,2024-07-11,C-026,Customer 026,Consumer,India,Mumbai,Tamil Nadu,South,Office Supplies,Binders,Binders Model 14,608.0,1,0.15,12.25
ORD-100100,2024-03-26,2024-03-29,C-231,Customer 231,Consumer,India,Delhi,Karnataka,South,Office Supplies,Art,Art Model 13,1238.28,1,0.1,18.56
ORD-100101,2024-09-02,2024-09-06,C-121,Customer 121,Corporate,India,Hyderabad,Tamil Nadu,West,Office Supplies,Paper,Paper Model 9,3859.3,6,0.15,406.93
ORD-100102,2024-12-05,2024-12-11,C-013,Customer 013,Home Office,India,Hyderabad,Delhi,West,Technology,Copiers,Copiers Model 17,7470.34,1,0.2,1701.78
ORD-100103,2023-09-19,2023-09-22,C-073,Customer 073,Consumer,India,Bangalore,Karnataka,East,Furniture,Tables,Tables Model 9,5883.85,3,0.5,-2240.42
ORD-100104,2023-03-25,2023-03-28,C-041,Customer 041,Corporate,India,Bangalore,Delhi,East,Furniture,Furnishings,Furnishings Model 10,4495.48,1,0.0,490.33
ORD-100105,2024-02-28,2024-03-03,C-186,Customer 186,Consumer,India,Bangalore,Telangana,North,Technology,Machines,Machines Model 20,25554.65,6,0.3,1499.21
ORD-100106,2024-05-09,2024-05-14,C-005,Customer 005,Consumer,India,Bangalore,Karnataka,South,Office Supplies,Paper,Paper Model 17,7516.55,6,0.5,-1410.73
ORD-100107,2023-06-01,2023-06-08,C-219,Customer 219,Corporate,India,Chennai,Tamil Nadu,South,Furniture,Tables,Tables Model 10,3434.86,1,0.4,-1457.18
ORD-100108,2024-10-04,2024-10-06,C-008,Customer 008,Consumer,India,Mumbai,Delhi,South,Technology,Machines,Machines Model 7,16427.89,2,0.0,2555.35
ORD-100109,2023-03-13,2023-03-14,C-003,Customer 003,Corporate,India,Bangalore,Karnataka,East,Furniture,Chairs,Chairs Model 21,3369.84,1,0.3,-232.31
ORD-100110,2023-10-12,2023-10-18,C-166,Customer 166,Corporate,India,Delhi,Telangana,North,Technology,Machines,Machines Model 18,16693.75,4,0.2,2110.89
ORD-100111,2024-11-23,2024-11-24,C-140,Customer 140,Consumer,India,Chennai,Karnataka,East,Furniture,Bookcases,Bookcases Model 10,1529.44,1,0.0,215.29
ORD-100112,2023-10-10,2023-10-17,C-257,Customer 257,Home Office,India,Hyderabad,Maharashtra,South,Office Supplies,Binders,Binders Model 12,2475.58,2,0.3,-326.05
ORD-100113,2023-10-04,2023-10-11,C-020,Customer 020,Corporate,India,Hyderabad,Maharashtra,East,Technology,Phones,Phones Model 12,42710.78,6,0.0,9629.43
ORD-100114,2024-02-09,2024-02-12,C-009,Customer 009,Corporate,India,Delhi,Delhi,West,Technology,Accessories,Accessories Model 16,8519.06,2,0.1,1126.05
ORD-100115,2024-07-10,2024-07-16,C-021,Customer 021,Consumer,India,Delhi,Tamil Nadu,West,Furniture,Chairs,Chairs Model 23,9044.36,5,0.3,-33.72
ORD-100116,2024-05-04,2024-05-06,C-011,Customer 011,Consumer,India,Delhi,Karnataka,North,Office Supplies,Binders,Binders Model 2,440.23,1,0.05,49.77
ORD-100117,2024-01-14,2024-01-15,C-041,Customer 041,Corporate,India,Chennai,Telangana,North,Furniture,Tables,Tables Model 3,6331.87,3,0.25,-1424.28
ORD-100118,2024-09-05,2024-09-11,C-002,Customer 002,Consumer,India,Delhi,Karnataka,North,Office Supplies,Binders,Binders Model 6,7672.18,7,0.1,1045.74
ORD-100119,2024-10-27,2024-11-02,C-013,Customer 013,Corporate,India,Mumbai,Telangana,West,Technology,Phones,Phones Model 15,17722.24,2,0.1,3339.94
ORD-100120,2024-09-15,2024-09-20,C-020,Customer 020,Home Office,India,Mumbai,Tamil Nadu,North,Furniture,Tables,Tables Model 20,2415.69,1,0.3,-585.27
ORD-100121,2023-10-04,2023-10-05,C-280,Customer 280,Corporate,India,Mumbai,Delhi,East,Furniture,Tables,Tables Model 3,13563.79,4,0.3,-2902.93
ORD-100122,2024-02-10,2024-02-16,C-016,Customer 016,Home Office,India,Bangalore,Delhi,North,Office Supplies,Storage,Storage Model 3,3505.53,6,0.3,75.31
ORD-100123,2024-10-25,2024-11-01,C-021,Customer 021,Corporate,India,Delhi,Karnataka,West,Technology,Copiers,Copiers Model 1,12650.11,5,0.0,3855.79
ORD-100124,2023-01-04,2023-01-10,C-046,Customer 046,Corporate,India,Chennai,Delhi,South,Office Supplies,Art,Art Model 2,2603.81,4,0.3,13.38
ORD-100125,2023-06-23,2023-06-30,C-009,Customer 009,Corporate,India,,Tamil Nadu,South,Technology,Phones,Phones Model 22,61342.89,7,0.3,-2533.37
ORD-100126,2024-02-11,2024-02-18,C-036,Customer 036,Consumer,India,Bangalore,Delhi,South,Technology,Phones,Phones Model 4,32234.37,5,0.1,125.08
ORD-100127,2024-06-09,2024-06-13,C-036,Customer 036,Consumer,India,Hyderabad,Delhi,South,Technology,Phones,Phones Model 4,18590.65,7,0.1,1033.6
ORD-100128,2023-11-29,2023-12-03,C-035,Customer 035,Corporate,India,Delhi,Maharashtra,North,Office Supplies,Paper,Paper Model 5,3815.26,7,0.0,723.68
ORD-100129,2023-06-26,2023-06-29,C-030,Customer 030,Home Office,India,Delhi,Karnataka,West,Office Supplies,Binders,Binders Model 11,943.02,1,0.3,-12.78
ORD-100130,2023-01-30,2023-02-04,C-007,Customer 007,Corporate,India,Mumbai,Tamil Nadu,West,Technology,Machines,Machines Model 19,8922.94,2,0.4,88.2
ORD-100131,2024-06-03,2024-06-09,C-026,Customer 026,Home Office,India,Delhi,Tamil Nadu,North,Furniture,Chairs,Chairs Model 2,16904.68,4,0.15,124.11
ORD-100132,2024-11-25,2024-11-26,C-087,Customer 087,Consumer,India,Hyderabad,Tamil Nadu,South,Furniture,Tables,Tables Model 9,8137.47,2,0.4,-2740.99
ORD-100133,2024-11-26,2024-11-30,C-029,Customer 029,Corporate,India,Delhi,Tamil Nadu,South,Technology,Accessories,Accessories Model 10,61717.07,7,0.2,-3374.83
ORD-100134,2024-07-15,2024-07-19,C-059,Customer 059,Corporate,India,Chennai,Maharashtra,North,Furniture,Tables,Tables Model 7,25648.35,6,0.25,-5104.32
ORD-100135,2023-01-30,2023-02-01,C-030,Customer 030,Home Office,India,Bangalore,Karnataka,West,Office Supplies,Storage,Storage Model 14,789.39,2,0.0,110.78
ORD-100136,2024-07-30,2024-08-04,C-079,Customer 079,Corporate,India,Bangalore,Karnataka,North,Office Supplies,Storage,Storage Model 12,7954.55,7,0.4,-42.03
ORD-100137,2023-03-31,2023-04-02,C-068,Customer 068,Corporate,India,Hyderabad,Karnataka,East,Technology,Copiers,Copiers Model 11,14753.03,4,0.05,3242.02
ORD-100138,2023-05-16,2023-05-17,C-024,Customer 024,Home Office,India,Chennai,Delhi,West,Furniture,Bookcases,Bookcases Model 7,17204.13,6,0.1,716.76
ORD-100139,2024-06-12,2024-06-17,C-299,Customer 299,Corporate,India,Chennai,Karnataka,North,Office Supplies,Art,Art Model 12,2787.25,5,0.15,248.35
ORD-100140,2024-04-11,2024-04-17,C-085,Customer 085,Home Office,India,Mumbai,Maharashtra,West,Furniture,Tables,Tables Model 11,15849.31,6,0.5,-5568.98
ORD-100141,2024-03-28,2024-04-01,C-199,Customer 199,Corporate,India,Mumbai,Delhi,South,Technology,Machines,Machines Model 18,34724.73,6,0.2,194.1
ORD-100142,2024-10-06,2024-10-08,C-012,Customer 012,Consumer,India,Mumbai,Karnataka,East,Office Supplies,Binders,Binders Model 10,2704.55,6,0.4,-204.54
ORD-100143,2024-08-25,2024-08-28,C-088,Customer 088,Home Office,India,Mumbai,Maharashtra,East,Technology,Machines,Machines Model 8,9649.87,2,0.1,1911.98
ORD-100144,2023-12-13,2023-12-19,C-022,Customer 022,Corporate,India,Delhi,Tamil Nadu,North,Technology,Machines,Machines Model 7,14723.87,2,0.3,408.45
ORD-100145,2024-06-01,2024-06-04,C-073,Customer 073,Corporate,India,Bangalore,Karnataka,South,Furniture,Chairs,Chairs Model 11,7386.57,2,0.05,57.57
ORD-100146,2024-10-31,2024-11-04,C-026,Customer 026,Consumer,India,Delhi,Tamil Nadu,East,Furniture,Tables,Tables Model 20,10019.23,3,0.5,-4658.81
ORD-100147,2024-02-23,2024-02-29,C-273,Customer 273,Consumer,India,Delhi,Telangana,North,Office Supplies,Art,Art Model 21,3199.3,4,0.1,375.52
ORD-100148,2024-12-17,2024-12-24,C-022,Customer 022,Home Office,India,Hyderabad,Maharashtra,West,Technology,Phones,Phones Model 20,41421.72,5,0.05,9194.72
ORD-100149,2023-06-05,2023-06-11,C-182,Customer 182,Corporate,India,Delhi,Karnataka,South,Office Supplies,Art,Art Model 21,1055.24,2,0.0,70.42
ORD-100150,2023-07-10,2023-07-17,C-202,Customer 202,Home Office,India,Delhi,Maharashtra,West,Furniture,Chairs,Chairs Model 24,11936.26,7,0.15,-338.67
ORD-100151,2024-05-18,2024-05-24,C-083,Customer 083,Corporate,India,Chennai,Tamil Nadu,South,Furniture,Chairs,Chairs Model 6,7542.64,2,0.2,-607.32
ORD-100152,2023-05-30,2023-06-03,C-018,Customer 018,Consumer,India,Mumbai,Telangana,North,Technology,Machines,Machines Model 4,54352.3,7,0.0,12785.04
ORD-100153,2024-06-17,2024-06-19,C-012,Customer 012,Corporate,India,Delhi,Telangana,South,Furniture,Bookcases,Bookcases Model 10,23361.24,7,0.2,-1515.7
ORD-100154,2023-03-12,2023-03-16,C-022,Customer 022,Home Office,India,Mumbai,Maharashtra,East,Technology,Phones,Phones Model 5,11410.97,3,0.0,3358.53
ORD-100155,2023-03-27,2023-04-03,C-239,Customer 239,Consumer,India,Mumbai,Delhi,South,Technology,Machines,Machines Model 21,6755.5,2,0.4,-193.98
ORD-100156,2024-07-17,2024-07-19,C-077,Customer 077,Corporate,India,Bangalore,Maharashtra,East,Furniture,Chairs,Chairs Model 13,8463.07,2,0.3,-1343.7
ORD-100157,2024-03-09,2024-03-16,C-016,Customer 016,Corporate,India,Delhi,Karnataka,East,Furniture,Chairs,Chairs Model 22,3787.72,1,0.4,-721.97
ORD-100158,2023-07-27,2023-07-28,C-296,Customer 296,Corporate,India,Delhi,Delhi,East,Technology,Machines,Machines Model 21,12147.6,3,0.1,2189.4
ORD-100159,2023-07-28,2023-08-01,C-119,Customer 119,Consumer,India,Chennai,Karnataka,East,Technology,Copiers,Copiers Model 18,29500.44,5,0.0,7538.51
